signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
5,XAUUSD,PERIOD_M15,26090401,2026.01.08 23:15:00,2026.01.08 23:15:00,BUY,12,2026.01.09 11:15:00,2026.01.09 11:15:00,0,OK,4477.93,4478.20,4478.07,27.0,4474.74,4474.93,4474.84,19.0,-323.0,-346.0,-7.2129,-7.7263,4446.05733128,4446.15944921,4446.84431075,4446.47557409
5,XAUUSD,PERIOD_M15,26090401,2026.01.08 23:15:00,2026.01.08 23:15:00,BUY,24,2026.01.09 23:15:00,2026.01.09 23:15:00,0,OK,4477.93,4478.20,4478.07,27.0,4508.17,4508.44,4508.31,27.0,3024.0,2997.0,67.5292,66.9242,4446.05733128,4446.15944921,4446.84431075,4446.47557409
6,XAUUSD,PERIOD_M15,26090401,2026.01.16 10:45:00,2026.01.16 10:45:00,SELL,1,2026.01.16 11:45:00,2026.01.16 11:45:00,0,OK,4602.17,4602.33,4602.25,16.0,4603.32,4603.49,4603.40,17.0,-115.5,-132.0,-2.5096,-2.8682,4606.18011446,4606.13323933,4606.08109929,4606.09380412
6,XAUUSD,PERIOD_M15,26090401,2026.01.16 10:45:00,2026.01.16 10:45:00,SELL,2,2026.01.16 12:45:00,2026.01.16 12:45:00,0,OK,4602.17,4602.33,4602.25,16.0,4607.48,4607.64,4607.56,16.0,-531.0,-547.0,-11.5378,-11.8857,4606.18011446,4606.13323933,4606.08109929,4606.09380412
6,XAUUSD,PERIOD_M15,26090401,2026.01.16 10:45:00,2026.01.16 10:45:00,SELL,4,2026.01.16 14:45:00,2026.01.16 14:45:00,0,OK,4602.17,4602.33,4602.25,16.0,4603.42,4603.61,4603.51,19.0,-126.5,-144.0,-2.7487,-3.1290,4606.18011446,4606.13323933,4606.08109929,4606.09380412
7,XAUUSD,PERIOD_M15,26090401,2026.01.16 14:00:00,2026.01.16 14:00:00,BUY,1,2026.01.16 15:00:00,2026.01.16 15:00:00,0,OK,4612.52,4612.67,4612.60,15.0,4601.87,4602.03,4601.95,16.0,-1064.5,-1080.0,-23.0781,-23.4138,4606.03916742,4606.05690440,4606.19918798,4606.12121381
7,XAUUSD,PERIOD_M15,26090401,2026.01.16 14:00:00,2026.01.16 14:00:00,BUY,2,2026.01.16 16:00:00,2026.01.16 16:00:00,0,OK,4612.52,4612.67,4612.60,15.0,4601.88,4602.05,4601.97,17.0,-1063.0,-1079.0,-23.0456,-23.3921,4606.03916742,4606.05690440,4606.19918798,4606.12121381
8,XAUUSD,PERIOD_M15,26090401,2026.01.16 15:15:00,2026.01.16 15:15:00,SELL,1,2026.01.16 16:15:00,2026.01.16 16:15:00,0,OK,4596.25,4596.41,4596.33,16.0,4607.19,4607.38,4607.28,19.0,-1095.5,-1113.0,-23.8342,-24.2154,4606.13917484,4606.10175191,4605.89499769,4606.00372452
8,XAUUSD,PERIOD_M15,26090401,2026.01.16 15:15:00,2026.01.16 15:15:00,SELL,2,2026.01.16 17:15:00,2026.01.16 17:15:00,0,OK,4596.25,4596.41,4596.33,16.0,4616.14,4616.21,4616.18,7.0,-1984.5,-1996.0,-43.1758,-43.4267,4606.13917484,4606.10175191,4605.89499769,4606.00372452
7,XAUUSD,PERIOD_M15,26090401,2026.01.16 14:00:00,2026.01.16 14:00:00,BUY,4,2026.01.16 18:00:00,2026.01.16 18:00:00,0,OK,4612.52,4612.67,4612.60,15.0,4571.27,4571.44,4571.35,17.0,-4124.0,-4140.0,-89.4074,-89.7528,4606.03916742,4606.05690440,4606.19918798,4606.12121381
