candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,policy_spec,activated,activation_time,activation_time_msc,time_to_activation_seconds,highest_stage,protection_updates,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1776774600018_SELL,XAUUSD,PERIOD_M5,2026.04.21 12:30:00,1776774600018,2026.04.21 12:30:00,SELL,10,OK,1.250000,4.01,401.00,4782.31,4782.47,4782.39,16.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.021945,5.01,4787.32,4787.32,-1.000000,TIME_EXIT,2026.04.21 12:40:00,1776775200040,4783.60,600.022,-0.257357,-2.6974,2762,2026.04.21 12:40:00,1776775200040,22,4783.60
P2F4_CANDIDATE_S1,1776774600018_SELL,XAUUSD,PERIOD_M5,2026.04.21 12:30:00,1776774600018,2026.04.21 12:30:00,SELL,10,OK,1.250000,4.01,401.00,4782.31,4782.47,4782.39,16.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,NO,,,,0,0,0.021945,5.01,4787.32,4787.32,-1.000000,TIME_EXIT,2026.04.21 12:40:00,1776775200040,4783.60,600.022,-0.257357,-2.6974,2762,2026.04.21 12:40:00,1776775200040,22,4783.60
P2F4_CANDIDATE_S1,1776774600018_SELL,XAUUSD,PERIOD_M5,2026.04.21 12:30:00,1776774600018,2026.04.21 12:30:00,SELL,10,OK,1.250000,4.01,401.00,4782.31,4782.47,4782.39,16.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,NO,,,,0,0,0.021945,5.01,4787.32,4787.32,-1.000000,TIME_EXIT,2026.04.21 12:40:00,1776775200040,4783.60,600.022,-0.257357,-2.6974,2762,2026.04.21 12:40:00,1776775200040,22,4783.60
P2F4_CANDIDATE_S1,1776774600018_SELL,XAUUSD,PERIOD_M5,2026.04.21 12:30:00,1776774600018,2026.04.21 12:30:00,SELL,10,OK,1.250000,4.01,401.00,4782.31,4782.47,4782.39,16.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,NO,,,,0,0,0.021945,5.01,4787.32,4787.32,-1.000000,TIME_EXIT,2026.04.21 12:40:00,1776775200040,4783.60,600.022,-0.257357,-2.6974,2762,2026.04.21 12:40:00,1776775200040,22,4783.60
P2F4_CANDIDATE_S1,1776776400034_SELL,XAUUSD,PERIOD_M5,2026.04.21 13:00:00,1776776400034,2026.04.21 13:00:00,SELL,10,OK,1.250000,3.91,390.79,4783.72,4783.89,4783.81,17.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.194480,4.88,4788.60,4788.60,-1.000000,TIME_EXIT,2026.04.21 13:10:00,1776777000114,4785.52,600.080,-0.368488,-3.7628,2629,2026.04.21 13:10:00,1776777000114,80,4785.52
P2F4_CANDIDATE_S1,1776776400034_SELL,XAUUSD,PERIOD_M5,2026.04.21 13:00:00,1776776400034,2026.04.21 13:00:00,SELL,10,OK,1.250000,3.91,390.79,4783.72,4783.89,4783.81,17.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,NO,,,,0,0,0.194480,4.88,4788.60,4788.60,-1.000000,TIME_EXIT,2026.04.21 13:10:00,1776777000114,4785.52,600.080,-0.368488,-3.7628,2629,2026.04.21 13:10:00,1776777000114,80,4785.52
P2F4_CANDIDATE_S1,1776776400034_SELL,XAUUSD,PERIOD_M5,2026.04.21 13:00:00,1776776400034,2026.04.21 13:00:00,SELL,10,OK,1.250000,3.91,390.79,4783.72,4783.89,4783.81,17.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,NO,,,,0,0,0.194480,4.88,4788.60,4788.60,-1.000000,TIME_EXIT,2026.04.21 13:10:00,1776777000114,4785.52,600.080,-0.368488,-3.7628,2629,2026.04.21 13:10:00,1776777000114,80,4785.52
P2F4_CANDIDATE_S1,1776776400034_SELL,XAUUSD,PERIOD_M5,2026.04.21 13:00:00,1776776400034,2026.04.21 13:00:00,SELL,10,OK,1.250000,3.91,390.79,4783.72,4783.89,4783.81,17.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,NO,,,,0,0,0.194480,4.88,4788.60,4788.60,-1.000000,TIME_EXIT,2026.04.21 13:10:00,1776777000114,4785.52,600.080,-0.368488,-3.7628,2629,2026.04.21 13:10:00,1776777000114,80,4785.52
P2F4_CANDIDATE_S1,1776780900019_SELL,XAUUSD,PERIOD_M5,2026.04.21 14:15:00,1776780900019,2026.04.21 14:15:00,SELL,10,OK,1.250000,3.60,360.00,4781.77,4781.94,4781.85,17.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.151111,4.50,4786.27,4786.27,-1.000000,TIME_EXIT,2026.04.21 14:25:00,1776781500027,4781.79,600.008,-0.004444,-0.0418,3360,2026.04.21 14:25:00,1776781500027,8,4781.79
P2F4_CANDIDATE_S1,1776780900019_SELL,XAUUSD,PERIOD_M5,2026.04.21 14:15:00,1776780900019,2026.04.21 14:15:00,SELL,10,OK,1.250000,3.60,360.00,4781.77,4781.94,4781.85,17.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,NO,,,,0,0,0.151111,4.50,4786.27,4786.27,-1.000000,TIME_EXIT,2026.04.21 14:25:00,1776781500027,4781.79,600.008,-0.004444,-0.0418,3360,2026.04.21 14:25:00,1776781500027,8,4781.79
P2F4_CANDIDATE_S1,1776780900019_SELL,XAUUSD,PERIOD_M5,2026.04.21 14:15:00,1776780900019,2026.04.21 14:15:00,SELL,10,OK,1.250000,3.60,360.00,4781.77,4781.94,4781.85,17.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,NO,,,,0,0,0.151111,4.50,4786.27,4786.27,-1.000000,TIME_EXIT,2026.04.21 14:25:00,1776781500027,4781.79,600.008,-0.004444,-0.0418,3360,2026.04.21 14:25:00,1776781500027,8,4781.79
