research_join_key,signal_time,signal_time_msc,arm,max_layers,layer_index,entry_time_msc,entry_bid,protection_activated,protection_time_msc,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L7,7,3,1780500471572,4453.83,YES,1780500643046,PROTECTED_STOP,1780500645473,4453.91,-0.01553398,-0.10201612,-0.18849825
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L7,7,4,1780500643046,4452.99,NO,0,TIME_EXIT,1780500900098,4451.70,0.25048544,0.16401961,0.07755379
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L10,10,1,1780500300041,4457.92,YES,1780500360041,TIME_EXIT,1780500900098,4451.70,1.20776699,1.12120544,1.03464388
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L10,10,2,1780500360041,4455.39,YES,1780500420104,PROTECTED_STOP,1780500657294,4455.40,-0.00194175,-0.08845417,-0.17496660
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L10,10,3,1780500420104,4454.50,YES,1780500480048,PROTECTED_STOP,1780500651562,4454.65,-0.02912621,-0.11562136,-0.20211650
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L10,10,4,1780500480048,4453.93,YES,1780500600045,PROTECTED_STOP,1780500645574,4453.93,0.00000000,-0.08648408,-0.17296816
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L10,10,5,1780500600045,4452.75,NO,0,TIME_EXIT,1780500900098,4451.70,0.20388350,0.11742233,0.03096117
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,CONTROL_L1,1,1,1780503900034,4450.28,NO,0,TIME_EXIT,1780504500184,4448.59,0.20903368,0.15398881,0.09894393
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L3,3,1,1780503900034,4450.28,YES,1780504100088,PROTECTED_STOP,1780504205167,4450.44,-0.01979017,-0.07483505,-0.12987992
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L3,3,2,1780504100088,4447.15,NO,0,TIME_EXIT,1780504500184,4448.59,-0.17811154,-0.23311770,-0.28812387
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L5,5,1,1780503900034,4450.28,YES,1780504020054,PROTECTED_STOP,1780504205167,4450.44,-0.01979017,-0.07483505,-0.12987992
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L5,5,2,1780504020054,4447.21,NO,0,TIME_EXIT,1780504500184,4448.59,-0.17069023,-0.22569713,-0.28070404
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L7,7,1,1780503900034,4450.28,YES,1780503985805,PROTECTED_STOP,1780504205167,4450.44,-0.01979017,-0.07483505,-0.12987992
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L7,7,2,1780503985805,4447.97,NO,0,TIME_EXIT,1780504500184,4448.59,-0.07668691,-0.13170322,-0.18671952
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L10,10,1,1780503900034,4450.28,YES,1780503960045,PROTECTED_STOP,1780504205167,4450.44,-0.01979017,-0.07483505,-0.12987992
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L10,10,2,1780503960045,4449.13,YES,1780504020054,PROTECTED_STOP,1780504035464,4449.25,-0.01484263,-0.06987328,-0.12490393
1780503900034_SELL,2026.06.03 16:25:00,1780503900034,PYRAMID_L10,10,3,1780504020054,4447.21,NO,0,TIME_EXIT,1780504500184,4448.59,-0.17069023,-0.22569713,-0.28070404
