signal_id,symbol,timeframe,magic,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,target_time,target_time_msc,observed_time,observed_time_msc,delay_milliseconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,entry_spread_bps,future_bid,future_ask,future_mid,future_spread_points,future_spread_bps,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,spread_drag_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,1,2026.08.19 21:56:00,1787176560006,2026.08.19 21:56:00,1787176560038,32,OK,4494.23,4494.61,4494.42,38.0,0.8455,4494.69,4495.08,4494.89,39.0,0.8677,46.5,8.0,1.0346,0.1780,0.8566,4486.46844055,4487.20532044,4488.02075244,4487.84392767
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,3,2026.08.19 21:58:00,1787176680006,2026.08.19 21:58:00,1787176680106,100,OK,4494.23,4494.61,4494.42,38.0,0.8455,4495.67,4496.15,4495.91,48.0,1.0676,149.0,106.0,3.3152,2.3584,0.9568,4486.46844055,4487.20532044,4488.02075244,4487.84392767
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,5,2026.08.19 22:00:00,1787176800006,2026.08.19 22:00:00,1787176800013,7,OK,4494.23,4494.61,4494.42,38.0,0.8455,4494.96,4495.40,4495.18,44.0,0.9788,76.0,35.0,1.6910,0.7787,0.9123,4486.46844055,4487.20532044,4488.02075244,4487.84392767
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,10,2026.08.19 22:05:00,1787177100006,2026.08.19 22:05:00,1787177100054,48,OK,4494.23,4494.61,4494.42,38.0,0.8455,4496.93,4497.33,4497.13,40.0,0.8895,271.0,232.0,6.0297,5.1617,0.8680,4486.46844055,4487.20532044,4488.02075244,4487.84392767
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,60,2026.08.19 22:05:00,1787177100042,2026.08.19 22:05:00,1787177100054,12,OK,4495.41,4495.89,4495.65,48.0,1.0677,4496.93,4497.33,4497.13,40.0,0.8895,148.0,104.0,3.2921,2.3132,0.9788,4488.46231792,4489.28966566,4489.85185433,4489.84605969
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,15,2026.08.19 22:10:00,1787177400006,2026.08.19 22:10:00,1787177400006,0,OK,4494.23,4494.61,4494.42,38.0,0.8455,4505.06,4505.36,4505.21,30.0,0.6659,1079.0,1045.0,24.0075,23.2501,0.7575,4486.46844055,4487.20532044,4488.02075244,4487.84392767
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,60,2026.08.19 22:10:00,1787177400101,2026.08.19 22:10:00,1787177400109,8,OK,4488.71,4489.12,4488.91,41.0,0.9134,4505.06,4505.33,4505.19,27.0,0.5993,-1628.0,-1662.0,-36.2671,-37.0262,0.7591,4489.85185433,4489.84605969,4489.62948347,4489.74550881
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,30,2026.08.19 22:25:00,1787178300006,2026.08.19 22:25:00,1787178300021,15,OK,4494.23,4494.61,4494.42,38.0,0.8455,4505.37,4505.58,4505.48,21.0,0.4661,1105.5,1076.0,24.5972,23.9398,0.6574,4486.46844055,4487.20532044,4488.02075244,4487.84392767
639,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:55:00,1787176500006,2026.08.19 21:55:00,BUY,60,2026.08.19 22:55:00,1787180100006,2026.08.19 22:55:00,1787180100067,61,OK,4494.23,4494.61,4494.42,38.0,0.8455,4511.18,4511.53,4511.35,35.0,0.7758,1693.5,1657.0,37.6801,36.8664,0.8137,4486.46844055,4487.20532044,4488.02075244,4487.84392767
640,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:00:00,1787194800034,2026.08.20 03:00:00,SELL,1,2026.08.20 03:01:00,1787194860034,2026.08.20 03:01:00,1787194860034,0,OK,4511.71,4511.95,4511.83,24.0,0.5319,4513.63,4513.93,4513.78,30.0,0.6646,-195.0,-222.0,-4.3220,-4.9205,0.5986,4515.61855589,4515.41737727,4514.83284471,4515.07852479
640,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:00:00,1787194800034,2026.08.20 03:00:00,SELL,3,2026.08.20 03:03:00,1787194980034,2026.08.20 03:03:00,1787194980131,97,OK,4511.71,4511.95,4511.83,24.0,0.5319,4515.71,4516.02,4515.86,31.0,0.6865,-403.5,-431.0,-8.9432,-9.5529,0.6098,4515.61855589,4515.41737727,4514.83284471,4515.07852479
640,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:00:00,1787194800034,2026.08.20 03:00:00,SELL,5,2026.08.20 03:05:00,1787195100034,2026.08.20 03:05:00,1787195100104,70,OK,4511.71,4511.95,4511.83,24.0,0.5319,4514.72,4515.03,4514.88,31.0,0.6866,-304.5,-332.0,-6.7489,-7.3586,0.6097,4515.61855589,4515.41737727,4514.83284471,4515.07852479
640,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:00:00,1787194800034,2026.08.20 03:00:00,SELL,10,2026.08.20 03:10:00,1787195400034,2026.08.20 03:10:00,1787195400121,87,OK,4511.71,4511.95,4511.83,24.0,0.5319,4515.01,4515.33,4515.17,32.0,0.7087,-334.0,-362.0,-7.4028,-8.0236,0.6208,4515.61855589,4515.41737727,4514.83284471,4515.07852479
640,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:00:00,1787194800034,2026.08.20 03:00:00,SELL,15,2026.08.20 03:15:00,1787195700034,2026.08.20 03:15:00,1787195700043,9,OK,4511.71,4511.95,4511.83,24.0,0.5319,4516.21,4516.54,4516.38,33.0,0.7307,-454.5,-483.0,-10.0735,-10.7055,0.6320,4515.61855589,4515.41737727,4514.83284471,4515.07852479
641,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:20:00,1787196000105,2026.08.20 03:20:00,BUY,1,2026.08.20 03:21:00,1787196060105,2026.08.20 03:21:00,1787196060129,24,OK,4517.78,4518.07,4517.92,29.0,0.6419,4515.30,4515.46,4515.38,16.0,0.3543,-254.5,-277.0,-5.6331,-6.1309,0.4978,4515.12257649,4515.14981577,4515.65406119,4515.38892343
641,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:20:00,1787196000105,2026.08.20 03:20:00,BUY,3,2026.08.20 03:23:00,1787196180105,2026.08.20 03:23:00,1787196180108,3,OK,4517.78,4518.07,4517.92,29.0,0.6419,4510.45,4510.75,4510.60,30.0,0.6651,-732.5,-762.0,-16.2132,-16.8656,0.6524,4515.12257649,4515.14981577,4515.65406119,4515.38892343
642,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:25:00,1787196300018,2026.08.20 03:25:00,SELL,1,2026.08.20 03:26:00,1787196360018,2026.08.20 03:26:00,1787196360056,38,OK,4511.80,4512.13,4511.97,33.0,0.7314,4511.15,4511.48,4511.31,33.0,0.7315,65.0,32.0,1.4406,0.7093,0.7314,4515.65406119,4515.38892343,4514.87724896,4515.05993039
642,XAUUSD,PERIOD_M5,26090401,2026.08.20 03:25:00,1787196300018,2026.08.20 03:25:00,SELL,3,2026.08.20 03:28:00,1787196480018,2026.08.20 03:28:00,1787196480068,50,OK,4511.80,4512.13,4511.97,33.0,0.7314,4509.05,4509.40,4509.23,35.0,0.7762,274.0,240.0,6.0727,5.3194,0.7534,4515.65406119,4515.38892343,4514.87724896,4515.05993039
