candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,gate_result,gate_reason,research_horizon_minutes,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_trend,entry_bid,entry_ask,entry_mid,spread_points
P2F4_CANDIDATE_S1,1769203800015_BUY,XAUUSD,PERIOD_M5,2026.01.23 21:30:00,1769203800015,2026.01.23 21:30:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4977.37,4977.55,4977.46,18.0
P2F4_CANDIDATE_S1,1769407500005_SELL,XAUUSD,PERIOD_M5,2026.01.26 06:05:00,1769407500005,2026.01.26 06:05:00,SELL,REJECT,M15_NOT_BEARISH,10,5058.37818294,5019.38015005,BULLISH,5073.66,5073.87,5073.76,21.0
P2F4_CANDIDATE_S1,1769414700000_BUY,XAUUSD,PERIOD_M5,2026.01.26 08:05:00,1769414700000,2026.01.26 08:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5079.24,5079.42,5079.33,18.0
P2F4_CANDIDATE_S1,1769425200037_SELL,XAUUSD,PERIOD_M5,2026.01.26 11:00:00,1769425200037,2026.01.26 11:00:00,SELL,REJECT,M15_NOT_BEARISH,10,5081.23995852,5053.79427247,BULLISH,5083.39,5083.58,5083.49,19.0
P2F4_CANDIDATE_S1,1769426400040_BUY,XAUUSD,PERIOD_M5,2026.01.26 11:20:00,1769426400040,2026.01.26 11:20:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5093.57,5093.70,5093.64,13.0
P2F4_CANDIDATE_S1,1769428200072_SELL,XAUUSD,PERIOD_M5,2026.01.26 11:50:00,1769428200072,2026.01.26 11:50:00,SELL,REJECT,M15_NOT_BEARISH,10,5084.32903525,5058.24509639,BULLISH,5083.81,5083.95,5083.88,14.0
P2F4_CANDIDATE_S1,1769431200045_BUY,XAUUSD,PERIOD_M5,2026.01.26 12:40:00,1769431200045,2026.01.26 12:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5094.75,5094.94,5094.84,19.0
P2F4_CANDIDATE_S1,1769433600012_SELL,XAUUSD,PERIOD_M5,2026.01.26 13:20:00,1769433600012,2026.01.26 13:20:00,SELL,REJECT,M15_NOT_BEARISH,10,5086.50177845,5064.80892878,BULLISH,5081.41,5081.56,5081.49,15.0
P2F4_CANDIDATE_S1,1769435700359_BUY,XAUUSD,PERIOD_M5,2026.01.26 13:55:00,1769435700359,2026.01.26 13:55:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5091.53,5091.63,5091.58,10.0
P2F4_CANDIDATE_S1,1769438400038_SELL,XAUUSD,PERIOD_M5,2026.01.26 14:40:00,1769438400038,2026.01.26 14:40:00,SELL,REJECT,M15_NOT_BEARISH,10,5087.85801561,5069.35474295,BULLISH,5085.42,5085.59,5085.51,17.0
P2F4_CANDIDATE_S1,1769445600036_BUY,XAUUSD,PERIOD_M5,2026.01.26 16:40:00,1769445600036,2026.01.26 16:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5089.17,5089.32,5089.24,15.0
P2F4_CANDIDATE_S1,1769452500030_SELL,XAUUSD,PERIOD_M5,2026.01.26 18:35:00,1769452500030,2026.01.26 18:35:00,SELL,REJECT,M15_NOT_BEARISH,10,5085.00650736,5075.82762479,BULLISH,5075.34,5075.38,5075.36,4.0
P2F4_CANDIDATE_S1,1769454300031_BUY,XAUUSD,PERIOD_M5,2026.01.26 19:05:00,1769454300031,2026.01.26 19:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5095.22,5095.30,5095.26,8.0
P2F4_CANDIDATE_S1,1769458800016_SELL,XAUUSD,PERIOD_M5,2026.01.26 20:20:00,1769458800016,2026.01.26 20:20:00,SELL,REJECT,M15_NOT_BEARISH,10,5087.80748056,5079.38140844,BULLISH,5087.01,5087.06,5087.03,5.0
P2F4_CANDIDATE_S1,1769468400015_BUY,XAUUSD,PERIOD_M5,2026.01.26 23:00:00,1769468400015,2026.01.26 23:00:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5055.24,5055.34,5055.29,10.0
P2F4_CANDIDATE_S1,1769469300010_SELL,XAUUSD,PERIOD_M5,2026.01.26 23:15:00,1769469300010,2026.01.26 23:15:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,5060.17007958,5068.08916235,BEARISH,5034.23,5034.40,5034.31,17.0
