candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,trigger_r,initial_lock_r,trail_gap_r,activated,activation_time,activation_time_msc,time_to_activation_seconds,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1773764700021_SELL,XAUUSD,PERIOD_M5,2026.03.17 16:25:00,1773764700021,2026.03.17 16:25:00,SELL,10,OK,1.250000,8.09,808.57,5009.56,5009.73,5009.65,17.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.644099,10.11,5019.67,5019.67,-1.000000,TIME_EXIT,2026.03.17 16:35:00,1773765300116,5009.09,600.095,0.046502,0.9382,4401,2026.03.17 16:35:00,1773765300116,95,5009.09
P2F4_CANDIDATE_S1,1773764700021_SELL,XAUUSD,PERIOD_M5,2026.03.17 16:25:00,1773764700021,2026.03.17 16:25:00,SELL,10,OK,1.250000,8.09,808.57,5009.56,5009.73,5009.65,17.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,YES,2026.03.17 16:31:40,1773765100893,400.872,0.644099,10.11,5019.67,5009.56,0.000000,RETENTION_STOP,2026.03.17 16:33:28,1773765208225,5009.67,508.204,0.000000,0.0000,4401,2026.03.17 16:35:00,1773765300116,95,5009.09
P2F4_CANDIDATE_S1,1773764700021_SELL,XAUUSD,PERIOD_M5,2026.03.17 16:25:00,1773764700021,2026.03.17 16:25:00,SELL,10,OK,1.250000,8.09,808.57,5009.56,5009.73,5009.65,17.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.644099,10.11,5019.67,5019.67,-1.000000,TIME_EXIT,2026.03.17 16:35:00,1773765300116,5009.09,600.095,0.046502,0.9382,4401,2026.03.17 16:35:00,1773765300116,95,5009.09
P2F4_CANDIDATE_S1,1773764700021_SELL,XAUUSD,PERIOD_M5,2026.03.17 16:25:00,1773764700021,2026.03.17 16:25:00,SELL,10,OK,1.250000,8.09,808.57,5009.56,5009.73,5009.65,17.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.644099,10.11,5019.67,5019.67,-1.000000,TIME_EXIT,2026.03.17 16:35:00,1773765300116,5009.09,600.095,0.046502,0.9382,4401,2026.03.17 16:35:00,1773765300116,95,5009.09
P2F4_CANDIDATE_S1,1773777000002_SELL,XAUUSD,PERIOD_M5,2026.03.17 19:50:00,1773777000002,2026.03.17 19:50:00,SELL,10,OK,1.250000,4.12,411.50,4999.77,4999.94,4999.85,17.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.034994,5.14,5004.91,5004.91,-1.000000,TIME_EXIT,2026.03.17 20:00:00,1773777600042,5002.65,600.040,-0.559903,-5.7603,1805,2026.03.17 20:00:00,1773777600042,40,5002.65
P2F4_CANDIDATE_S1,1773777000002_SELL,XAUUSD,PERIOD_M5,2026.03.17 19:50:00,1773777000002,2026.03.17 19:50:00,SELL,10,OK,1.250000,4.12,411.50,4999.77,4999.94,4999.85,17.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,NO,,,,0.034994,5.14,5004.91,5004.91,-1.000000,TIME_EXIT,2026.03.17 20:00:00,1773777600042,5002.65,600.040,-0.559903,-5.7603,1805,2026.03.17 20:00:00,1773777600042,40,5002.65
P2F4_CANDIDATE_S1,1773777000002_SELL,XAUUSD,PERIOD_M5,2026.03.17 19:50:00,1773777000002,2026.03.17 19:50:00,SELL,10,OK,1.250000,4.12,411.50,4999.77,4999.94,4999.85,17.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.034994,5.14,5004.91,5004.91,-1.000000,TIME_EXIT,2026.03.17 20:00:00,1773777600042,5002.65,600.040,-0.559903,-5.7603,1805,2026.03.17 20:00:00,1773777600042,40,5002.65
P2F4_CANDIDATE_S1,1773777000002_SELL,XAUUSD,PERIOD_M5,2026.03.17 19:50:00,1773777000002,2026.03.17 19:50:00,SELL,10,OK,1.250000,4.12,411.50,4999.77,4999.94,4999.85,17.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.034994,5.14,5004.91,5004.91,-1.000000,TIME_EXIT,2026.03.17 20:00:00,1773777600042,5002.65,600.040,-0.559903,-5.7603,1805,2026.03.17 20:00:00,1773777600042,40,5002.65
P2F4_CANDIDATE_S1,1773782400069_SELL,XAUUSD,PERIOD_M5,2026.03.17 21:20:00,1773782400069,2026.03.17 21:20:00,SELL,10,OK,1.250000,3.25,324.64,5000.65,5000.82,5000.73,17.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.593883,4.06,5004.71,5004.71,-1.000000,TIME_EXIT,2026.03.17 21:30:00,1773783000145,5000.05,600.076,0.147855,1.1998,1911,2026.03.17 21:30:00,1773783000145,76,5000.05
P2F4_CANDIDATE_S1,1773782400069_SELL,XAUUSD,PERIOD_M5,2026.03.17 21:20:00,1773782400069,2026.03.17 21:20:00,SELL,10,OK,1.250000,3.25,324.64,5000.65,5000.82,5000.73,17.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,YES,2026.03.17 21:26:47,1773782807267,407.198,0.593883,4.06,5004.71,5000.65,0.000000,TIME_EXIT,2026.03.17 21:30:00,1773783000145,5000.05,600.076,0.147855,1.1998,1911,2026.03.17 21:30:00,1773783000145,76,5000.05
