signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
33,XAUUSD,PERIOD_H1,26090401,2025.05.16 14:00:00,2025.05.16 14:00:00,SELL,8,2025.05.16 22:00:00,2025.05.16 22:00:00,0,OK,3175.97,3176.12,3176.05,15.0,3187.51,3187.66,3187.59,15.0,-1154.0,-1169.0,-36.3345,-36.8077,3212.59856982,3211.04816484,3209.06632508,3209.65451131
33,XAUUSD,PERIOD_H1,26090401,2025.05.16 14:00:00,2025.05.16 14:00:00,SELL,12,2025.05.17 02:00:00,,,NO_TICK_NEAR_TARGET,3175.97,3176.12,3176.05,15.0,,,,,,,,,3212.59856982,3211.04816484,3209.06632508,3209.65451131
33,XAUUSD,PERIOD_H1,26090401,2025.05.16 14:00:00,2025.05.16 14:00:00,SELL,24,2025.05.17 14:00:00,,,NO_TICK_NEAR_TARGET,3175.97,3176.12,3176.05,15.0,,,,,,,,,3212.59856982,3211.04816484,3209.06632508,3209.65451131
32,XAUUSD,PERIOD_H1,26090401,2025.05.16 04:00:00,2025.05.16 04:00:00,BUY,24,2025.05.17 04:00:00,,,NO_TICK_NEAR_TARGET,3243.16,3243.31,3243.23,15.0,,,,,,,,,3208.48472660,3208.51938702,3211.78618121,3209.87745027
34,XAUUSD,PERIOD_H1,26090401,2025.05.19 04:00:00,2025.05.19 04:00:00,BUY,1,2025.05.19 05:00:00,2025.05.19 05:00:00,0,OK,3246.12,3246.27,3246.19,15.0,3218.12,3218.27,3218.19,15.0,-2800.0,-2815.0,-86.2548,-86.7149,3202.38187911,3204.20219860,3206.57789062,3205.85858297
34,XAUUSD,PERIOD_H1,26090401,2025.05.19 04:00:00,2025.05.19 04:00:00,BUY,2,2025.05.19 06:00:00,2025.05.19 06:00:00,0,OK,3246.12,3246.27,3246.19,15.0,3228.49,3228.64,3228.56,15.0,-1763.0,-1778.0,-54.3097,-54.7706,3202.38187911,3204.20219860,3206.57789062,3205.85858297
34,XAUUSD,PERIOD_H1,26090401,2025.05.19 04:00:00,2025.05.19 04:00:00,BUY,4,2025.05.19 08:00:00,2025.05.19 08:00:00,0,OK,3246.12,3246.27,3246.19,15.0,3215.91,3216.07,3215.99,16.0,-3020.5,-3036.0,-93.0474,-93.5227,3202.38187911,3204.20219860,3206.57789062,3205.85858297
34,XAUUSD,PERIOD_H1,26090401,2025.05.19 04:00:00,2025.05.19 04:00:00,BUY,8,2025.05.19 12:00:00,2025.05.19 12:00:00,0,OK,3246.12,3246.27,3246.19,15.0,3244.70,3244.85,3244.77,15.0,-142.0,-157.0,-4.3744,-4.8363,3202.38187911,3204.20219860,3206.57789062,3205.85858297
34,XAUUSD,PERIOD_H1,26090401,2025.05.19 04:00:00,2025.05.19 04:00:00,BUY,12,2025.05.19 16:00:00,2025.05.19 16:00:00,0,OK,3246.12,3246.27,3246.19,15.0,3229.23,3229.40,3229.32,17.0,-1688.0,-1704.0,-51.9993,-52.4910,3202.38187911,3204.20219860,3206.57789062,3205.85858297
34,XAUUSD,PERIOD_H1,26090401,2025.05.19 04:00:00,2025.05.19 04:00:00,BUY,24,2025.05.20 04:00:00,2025.05.20 04:00:00,0,OK,3246.12,3246.27,3246.19,15.0,3223.30,3223.47,3223.39,17.0,-2281.0,-2297.0,-70.2669,-70.7581,3202.38187911,3204.20219860,3206.57789062,3205.85858297
35,XAUUSD,PERIOD_H1,26090401,2025.05.27 12:00:00,2025.05.27 12:00:00,SELL,1,2025.05.27 13:00:00,2025.05.27 13:00:00,0,OK,3298.58,3298.78,3298.68,20.0,3296.16,3296.33,3296.24,17.0,243.5,225.0,7.3817,6.8211,3331.79096653,3331.37970052,3328.62611257,3330.09265344
35,XAUUSD,PERIOD_H1,26090401,2025.05.27 12:00:00,2025.05.27 12:00:00,SELL,2,2025.05.27 14:00:00,2025.05.27 14:00:00,0,OK,3298.58,3298.78,3298.68,20.0,3293.46,3293.63,3293.55,17.0,513.5,495.0,15.5668,15.0065,3331.79096653,3331.37970052,3328.62611257,3330.09265344
35,XAUUSD,PERIOD_H1,26090401,2025.05.27 12:00:00,2025.05.27 12:00:00,SELL,4,2025.05.27 16:00:00,2025.05.27 16:00:00,0,OK,3298.58,3298.78,3298.68,20.0,3294.19,3294.38,3294.28,19.0,439.5,420.0,13.3235,12.7328,3331.79096653,3331.37970052,3328.62611257,3330.09265344
35,XAUUSD,PERIOD_H1,26090401,2025.05.27 12:00:00,2025.05.27 12:00:00,SELL,8,2025.05.27 20:00:00,2025.05.27 20:00:00,0,OK,3298.58,3298.78,3298.68,20.0,3297.84,3298.01,3297.93,17.0,75.5,57.0,2.2888,1.7280,3331.79096653,3331.37970052,3328.62611257,3330.09265344
35,XAUUSD,PERIOD_H1,26090401,2025.05.27 12:00:00,2025.05.27 12:00:00,SELL,12,2025.05.28 00:00:00,,,NO_TICK_NEAR_TARGET,3298.58,3298.78,3298.68,20.0,,,,,,,,,3331.79096653,3331.37970052,3328.62611257,3330.09265344
35,XAUUSD,PERIOD_H1,26090401,2025.05.27 12:00:00,2025.05.27 12:00:00,SELL,24,2025.05.28 12:00:00,2025.05.28 12:00:00,0,OK,3298.58,3298.78,3298.68,20.0,3321.58,3321.75,3321.66,17.0,-2298.5,-2317.0,-69.6794,-70.2423,3331.79096653,3331.37970052,3328.62611257,3330.09265344
36,XAUUSD,PERIOD_H1,26090401,2025.05.29 22:00:00,2025.05.29 22:00:00,BUY,1,2025.05.29 23:00:00,2025.05.29 23:00:00,0,OK,3321.10,3321.59,3321.35,49.0,3316.54,3316.71,3316.63,17.0,-472.0,-505.0,-14.2111,-15.2036,3300.82689364,3300.97441888,3302.76052282,3301.76483383
36,XAUUSD,PERIOD_H1,26090401,2025.05.29 22:00:00,2025.05.29 22:00:00,BUY,2,2025.05.30 00:00:00,,,NO_TICK_NEAR_TARGET,3321.10,3321.59,3321.35,49.0,,,,,,,,,3300.82689364,3300.97441888,3302.76052282,3301.76483383
