research_join_key,signal_time,signal_time_msc,arm,max_layers,status,base_entry_bid,m5_atr,stop_distance,layers_opened,checkpoint_pass_count,checkpoint_reject_count,checkpoint_missing_count,protected_exit_count,hard_sl_exit_count,time_exit_count,gross_total_r,nominal_total_r_1bps,stress_total_r_2bps,incremental_gross_r_vs_control,incremental_nominal_r_vs_control,incremental_stress_r_vs_control
1780375200009_SELL,2026.06.02 04:40:00,1780375200009,PYRAMID_L5,5,OK,4481.86,7.03,8.78,2,1,3,0,1,0,1,0.47819457,0.37615252,0.27411046,-0.23112738,-0.28214083,-0.33315429
1780375200009_SELL,2026.06.02 04:40:00,1780375200009,PYRAMID_L7,7,OK,4481.86,7.03,8.78,2,1,5,0,1,0,1,0.56586358,0.46381276,0.36176194,-0.14345837,-0.19448059,-0.24550282
1780375200009_SELL,2026.06.02 04:40:00,1780375200009,PYRAMID_L10,10,OK,4481.86,7.03,8.78,2,1,8,0,1,0,1,0.47819457,0.37615252,0.27411046,-0.23112738,-0.28214083,-0.33315429
1780452000017_SELL,2026.06.03 02:00:00,1780452000017,CONTROL_L1,1,OK,4484.76,3.86,4.83,1,0,0,0,0,0,1,0.49497041,0.40209077,0.30921112,0.00000000,0.00000000,0.00000000
1780452000017_SELL,2026.06.03 02:00:00,1780452000017,PYRAMID_L3,3,OK,4484.76,3.86,4.83,2,1,1,0,0,0,2,0.63372781,0.44800414,0.26228047,0.13875740,0.04591337,-0.04693065
1780452000017_SELL,2026.06.03 02:00:00,1780452000017,PYRAMID_L5,5,OK,4484.76,3.86,4.83,2,1,3,0,1,0,1,0.14497041,-0.04075408,-0.22647858,-0.35000000,-0.44284485,-0.53568970
1780452000017_SELL,2026.06.03 02:00:00,1780452000017,PYRAMID_L7,7,OK,4484.76,3.86,4.83,2,1,5,0,1,0,1,0.26094675,0.07521065,-0.11052544,-0.23402367,-0.32688012,-0.41973657
1780452000017_SELL,2026.06.03 02:00:00,1780452000017,PYRAMID_L10,10,OK,4484.76,3.86,4.83,2,1,8,0,1,0,1,0.14497041,-0.04075408,-0.22647858,-0.35000000,-0.44284485,-0.53568970
1780460100006_SELL,2026.06.03 04:15:00,1780460100006,CONTROL_L1,1,OK,4471.36,5.97,7.46,1,0,0,0,0,0,1,0.66103196,0.60107838,0.54112479,0.00000000,0.00000000,0.00000000
1780460100006_SELL,2026.06.03 04:15:00,1780460100006,PYRAMID_L3,3,OK,4471.36,5.97,7.46,2,1,1,0,0,0,2,1.12496109,1.00507363,0.88518616,0.46392913,0.40399525,0.34406137
