position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
72,XAUUSD,PERIOD_H1,26090401,BUY,72,73,72,73,2025.06.02 07:00:00,2025.06.02 09:13:54,8034,2.2317,0.0900,0.0900,3309.01,3329.26,3304.01,3329.01,182.25,0.00,0.00,0.00,182.25,DEAL_REASON_TP,TAKE_PROFIT,9713.04,OK,7830,3329.26,3308.83,2025.0,18.0,182.25,1.62,4.0500,0.0360
74,XAUUSD,PERIOD_H1,26090401,SELL,74,75,74,75,2025.06.06 14:00:00,2025.06.06 17:00:51,10851,3.0142,0.0900,0.0900,3360.70,3340.23,3365.70,3340.70,184.23,0.00,0.00,0.00,184.23,DEAL_REASON_TP,TAKE_PROFIT,9897.27,OK,15632,3340.23,3364.40,2047.0,370.0,184.23,33.30,4.0940,0.7400
76,XAUUSD,PERIOD_H1,26090401,BUY,76,77,76,77,2025.06.11 08:00:00,2025.06.11 08:47:38,2858,0.7939,0.0900,0.0900,3341.98,3336.70,3336.98,3361.98,-47.52,0.00,0.00,0.00,-47.52,DEAL_REASON_SL,STOP_LOSS,9849.75,OK,2988,3343.13,3336.70,115.0,528.0,10.35,47.52,0.2300,1.0560
78,XAUUSD,PERIOD_H1,26090401,SELL,78,79,78,79,2025.06.17 01:00:08,2025.06.17 01:35:37,2129,0.5914,0.0900,0.0900,3386.26,3391.30,3391.26,3366.26,-45.36,0.00,0.00,0.00,-45.36,DEAL_REASON_SL,STOP_LOSS,9804.39,OK,1606,3385.98,3391.30,28.0,504.0,2.52,45.36,0.0560,1.0080
80,XAUUSD,PERIOD_H1,26090401,BUY,80,81,80,81,2025.06.23 18:00:00,2025.06.23 19:42:31,6151,1.7086,0.0900,0.0900,3386.67,3381.30,3381.67,3406.67,-48.33,0.00,0.00,0.00,-48.33,DEAL_REASON_SL,STOP_LOSS,9756.06,OK,6968,3393.53,3381.30,686.0,537.0,61.74,48.33,1.3720,1.0740
82,XAUUSD,PERIOD_H1,26090401,SELL,82,83,82,83,2025.06.24 04:00:00,2025.06.24 06:34:11,9251,2.5697,0.0900,0.0900,3351.12,3356.43,3356.12,3331.12,-47.79,0.00,0.00,0.00,-47.79,DEAL_REASON_SL,STOP_LOSS,9708.27,OK,9697,3342.43,3356.43,869.0,531.0,78.21,47.79,1.7380,1.0620
84,XAUUSD,PERIOD_H1,26090401,BUY,84,85,84,85,2025.06.26 13:00:00,2025.06.26 14:35:23,5723,1.5897,0.0900,0.0900,3340.78,3335.75,3335.78,3360.78,-45.27,0.00,0.00,0.00,-45.27,DEAL_REASON_SL,STOP_LOSS,9663.00,OK,4622,3344.03,3335.75,325.0,503.0,29.25,45.27,0.6500,1.0060
86,XAUUSD,PERIOD_H1,26090401,SELL,86,87,86,87,2025.06.26 16:00:00,2025.06.26 16:52:17,3137,0.8714,0.0900,0.0900,3322.19,3327.28,3327.19,3302.19,-45.81,0.00,0.00,0.00,-45.81,DEAL_REASON_SL,STOP_LOSS,9617.19,OK,4428,3310.14,3327.28,1205.0,509.0,108.45,45.81,2.4100,1.0180
88,XAUUSD,PERIOD_H1,26090401,BUY,88,89,88,89,2025.07.01 05:00:00,2025.07.01 10:16:32,18992,5.2756,0.0900,0.0900,3317.91,3337.91,3312.91,3337.91,180.00,0.00,0.00,0.00,180.00,DEAL_REASON_TP,TAKE_PROFIT,9797.19,OK,16985,3337.91,3314.47,2000.0,344.0,180.00,30.96,4.0000,0.6880
90,XAUUSD,PERIOD_H1,26090401,SELL,90,91,90,91,2025.07.04 04:00:00,2025.07.04 10:28:11,23291,6.4697,0.0900,0.0900,3328.96,3337.77,3333.96,3308.96,-79.29,0.00,0.00,0.00,-79.29,DEAL_REASON_SL,STOP_LOSS,9717.90,OK,282,3326.64,3337.77,232.0,881.0,20.88,79.29,0.4640,1.7620
92,XAUUSD,PERIOD_H1,26090401,BUY,92,93,92,93,2025.07.04 11:00:00,2025.07.04 12:30:03,5403,1.5008,0.0900,0.0900,3343.13,3338.13,3338.13,3363.13,-45.00,0.00,0.00,0.00,-45.00,DEAL_REASON_SL,STOP_LOSS,9672.90,OK,4016,3344.18,3338.13,105.0,500.0,9.45,45.00,0.2100,1.0000
94,XAUUSD,PERIOD_H1,26090401,SELL,94,95,94,95,2025.07.04 19:00:00,2025.07.04 19:55:18,3318,0.9217,0.0900,0.0900,3332.41,3337.58,3337.41,3312.41,-46.53,0.00,0.00,0.00,-46.53,DEAL_REASON_SL,STOP_LOSS,9626.37,OK,1712,3332.41,3337.58,0.0,517.0,0.00,46.53,0.0000,1.0340
96,XAUUSD,PERIOD_H1,26090401,BUY,96,97,96,97,2025.07.07 01:00:14,2025.07.07 02:00:00,3586,0.9961,0.0900,0.0900,3336.42,3333.52,3331.42,3356.42,-26.10,0.00,0.00,0.00,-26.10,DEAL_REASON_EXPERT,OPPOSITE_SIGNAL,9600.27,OK,2849,3342.76,3332.44,634.0,398.0,57.06,35.82,1.2680,0.7960
98,XAUUSD,PERIOD_H1,26090401,BUY,98,99,98,99,2025.07.08 05:00:00,2025.07.08 06:24:58,5098,1.4161,0.0900,0.0900,3334.90,3329.68,3329.90,3354.90,-46.98,0.00,0.00,0.00,-46.98,DEAL_REASON_SL,STOP_LOSS,9553.29,OK,4957,3337.98,3329.68,308.0,522.0,27.72,46.98,0.6160,1.0440
100,XAUUSD,PERIOD_H1,26090401,SELL,100,101,100,101,2025.07.08 17:00:00,2025.07.08 17:50:12,3012,0.8367,0.0900,0.0900,3315.08,3295.03,3320.08,3295.08,180.45,0.00,0.00,0.00,180.45,DEAL_REASON_TP,TAKE_PROFIT,9733.74,OK,5017,3295.03,3315.97,2005.0,89.0,180.45,8.01,4.0100,0.1780
102,XAUUSD,PERIOD_H1,26090401,BUY,102,103,102,103,2025.07.10 08:00:00,2025.07.10 16:47:25,31645,8.7903,0.0900,0.0900,3322.43,3317.43,3317.43,3342.43,-45.00,0.00,0.00,0.00,-45.00,DEAL_REASON_SL,STOP_LOSS,9688.74,OK,29883,3330.25,3317.43,782.0,500.0,70.38,45.00,1.5640,1.0000
104,XAUUSD,PERIOD_H1,26090401,SELL,104,105,104,105,2025.07.15 21:00:00,2025.07.16 04:18:12,26292,7.3033,0.0900,0.0900,3328.24,3333.77,3333.24,3308.24,-49.77,0.00,0.00,0.00,-49.77,DEAL_REASON_SL,STOP_LOSS,9638.97,OK,15456,3323.91,3333.77,433.0,553.0,38.97,49.77,0.8660,1.1060
106,XAUUSD,PERIOD_H1,26090401,BUY,106,107,106,107,2025.07.17 02:00:00,2025.07.17 03:03:48,3828,1.0633,0.0900,0.0900,3349.75,3344.74,3344.75,3369.75,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9593.88,OK,2203,3350.15,3344.74,40.0,501.0,3.60,45.09,0.0800,1.0020
108,XAUUSD,PERIOD_H1,26090401,SELL,108,109,108,109,2025.07.17 09:00:00,2025.07.17 15:30:34,23434,6.5094,0.0900,0.0900,3339.61,3318.09,3344.61,3319.61,193.68,0.00,0.00,0.00,193.68,DEAL_REASON_TP,TAKE_PROFIT,9787.56,OK,26045,3318.09,3339.82,2152.0,21.0,193.68,1.89,4.3040,0.0420
