join_key,symbol,entry_timeframe,context_timeframe,signal_time,signal_time_msc,signal_bar_time,side,context_status,server_hour,server_minute,server_day_of_week,entry_bid,entry_ask,entry_mid,spread_points,spread_bps,m5_fast_ema_bar2,m5_slow_ema_bar2,m5_fast_ema_bar1,m5_slow_ema_bar1,m5_fast_slope_points,m5_slow_slope_points,m5_ema_separation_points,m5_ema_separation_bps,m5_signal_separation_bps,m5_atr_points,m5_atr_bps,spread_to_atr_ratio,m5_bar1_open,m5_bar1_high,m5_bar1_low,m5_bar1_close,m5_bar1_direction,m5_bar1_body_points,m5_bar1_range_points,m5_bar1_body_to_range,m5_bar1_range_to_atr,m5_momentum_3bar_bps,m5_signal_momentum_3bar_bps,m15_fast_ema_bar2,m15_slow_ema_bar2,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_fast_slope_points,m15_slow_slope_points,m15_ema_separation_points,m15_ema_separation_bps,m15_trend,m15_signal_alignment
2026.01.28 14:45_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 14:45:00,1769611500008,2026.01.28 14:45:00,BUY,OK,14,45,3,5269.56,5269.76,5269.66,20.0,0.3795,5263.73435223,5263.93263123,5264.89948178,5264.44421021,116.51,51.16,45.53,0.8639,0.8639,639.07,12.1274,0.031295,5270.12,5273.06,5267.01,5269.56,BEARISH,56.00,605.00,0.092562,0.946686,15.5663,15.5663,5267.05024654,5241.76496701,5267.28927068,5242.85496831,23.90,109.00,2443.43,46.3679,BULLISH,ALIGNED
2026.01.28 15:50_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 15:50:00,1769615400003,2026.01.28 15:50:00,SELL,OK,15,50,3,5266.23,5266.32,5266.27,9.0,0.1709,5271.80966987,5271.19204005,5270.69373590,5270.74094550,-111.59,-45.11,-4.72,-0.0896,0.0896,937.21,17.7965,0.009603,5261.48,5268.18,5256.99,5266.23,BULLISH,475.00,1119.00,0.424486,1.193964,-15.2249,15.2249,5270.30092728,5246.92521840,5269.46083897,5247.49599415,-84.01,57.08,2196.48,41.7085,BULLISH,COUNTER
2026.01.28 16:45_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 16:45:00,1769618700022,2026.01.28 16:45:00,BUY,OK,16,45,3,5279.21,5279.37,5279.29,16.0,0.3031,5267.47677715,5267.63263429,5269.82342172,5268.68512209,234.66,105.25,113.83,2.1562,2.1562,1054.14,19.9675,0.015178,5281.92,5284.16,5273.30,5279.21,BEARISH,271.00,1086.00,0.249540,1.030221,38.0667,38.0667,5267.66881487,5249.21552658,5268.76797536,5250.39178044,109.92,117.63,1837.62,34.8081,BULLISH,ALIGNED
2026.01.28 17:15_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 17:15:00,1769620500019,2026.01.28 17:15:00,SELL,OK,17,15,3,5256.82,5256.96,5256.89,14.0,0.2663,5271.10147323,5270.45570911,5268.25717858,5269.22155374,-284.43,-123.42,-96.44,-1.8345,1.8345,1567.79,29.8234,0.008930,5242.12,5262.21,5242.12,5256.88,BULLISH,1476.00,2009.00,0.734694,1.281425,-55.5028,55.5028,5270.43007294,5251.79680866,5269.13958981,5251.99614949,-129.05,19.93,1714.34,32.6114,BULLISH,COUNTER
2026.01.28 17:40_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 17:40:00,1769622000027,2026.01.28 17:40:00,BUY,OK,17,40,3,5274.41,5274.57,5274.49,16.0,0.3033,5268.43668435,5268.77560190,5269.63134748,5269.28781991,119.47,51.22,34.35,0.6513,0.6513,1798.07,34.0900,0.008898,5273.25,5278.87,5269.87,5274.41,BULLISH,116.00,900.00,0.128889,0.500536,8.9379,8.9379,5269.13958981,5251.99614949,5269.18629554,5252.68767304,4.67,69.15,1649.86,31.2800,BULLISH,ALIGNED
2026.01.28 20:45_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 20:45:00,1769633100011,2026.01.28 20:45:00,SELL,OK,20,45,3,5273.65,5273.85,5273.75,20.0,0.3792,5295.61086948,5294.91512768,5291.21869558,5292.98193426,-439.22,-193.32,-176.32,-3.3434,3.3434,1398.00,26.5087,0.014306,5273.95,5281.71,5270.10,5273.65,BEARISH,30.00,1161.00,0.025840,0.830472,-59.5824,59.5824,5286.81900005,5268.03706423,5285.56480957,5268.25717936,-125.42,22.01,1730.76,32.8185,BULLISH,COUNTER
2026.01.28 21:40_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 21:40:00,1769636400037,2026.01.28 21:40:00,BUY,OK,21,40,3,5301.00,5301.20,5301.10,20.0,0.3773,5289.01539788,5289.48283965,5291.41631830,5290.53167241,240.09,104.88,88.46,1.6688,1.6688,1499.50,28.2866,0.013338,5292.47,5306.17,5291.57,5301.02,BULLISH,855.00,1460.00,0.585616,0.973658,13.1279,13.1279,5286.48189627,5269.96036434,5286.19981091,5270.49211476,-28.21,53.18,1570.77,29.6310,BULLISH,ALIGNED
2026.01.29 09:25_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.29 09:25:00,1769678700014,2026.01.29 09:25:00,SELL,OK,9,25,4,5555.27,5555.46,5555.36,19.0,0.3420,5568.84251975,5568.03949142,5566.12601580,5566.87771947,-271.65,-116.18,-75.17,-1.3531,1.3531,1236.29,22.2539,0.015369,5564.63,5565.11,5550.27,5555.26,BEARISH,937.00,1484.00,0.631402,1.200370,-24.6186,24.6186,5544.91722809,5475.85729714,5546.52701589,5479.22838352,160.98,337.11,6729.86,121.1417,BULLISH,COUNTER
2026.01.29 13:45_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.29 13:45:00,1769694300052,2026.01.29 13:45:00,BUY,OK,13,45,4,5514.47,5514.65,5514.56,18.0,0.3264,5508.27802928,5508.68431784,5509.51242342,5509.20847077,123.44,52.42,30.40,0.5512,0.5512,1056.43,19.1571,0.017039,5510.01,5515.93,5508.43,5514.45,BULLISH,444.00,750.00,0.592000,0.709939,-2.4838,-2.4838,5519.43273740,5497.44221560,5518.95819098,5498.10918754,-47.45,66.70,2084.90,37.8072,BULLISH,ALIGNED
2026.01.29 15:30_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.29 15:30:00,1769700600018,2026.01.29 15:30:00,SELL,OK,15,30,4,5519.28,5520.49,5519.89,121.0,2.1921,5526.49880346,5526.14830179,5525.05504277,5525.52391072,-144.38,-62.44,-46.89,-0.8494,0.8494,1054.43,19.1024,0.114754,5522.22,5525.77,5517.03,5519.28,BEARISH,294.00,874.00,0.336384,0.828885,7.6699,-7.6699,5523.56628561,5504.80915719,5523.15806793,5505.37664123,-40.82,56.75,1778.14,32.2134,BULLISH,COUNTER
