opportunity,time,cap,extra_cost_bps,tickets,total_R,incremental_R
1780471800004_SELL,2026.06.03 07:30:00,1,1,1,1.46365901,0.0
1780500300041_SELL,2026.06.03 15:25:00,1,1,1,1.12120544,0.0
1780503900034_SELL,2026.06.03 16:25:00,1,1,1,0.15398881,0.0
1780510500038_SELL,2026.06.03 18:15:00,1,1,1,0.27220811,0.0
1780535100018_SELL,2026.06.04 01:05:00,1,1,1,-1.10511272,0.0
1780650300042_SELL,2026.06.05 09:05:00,1,1,1,0.09525349,0.0
1780693500009_SELL,2026.06.05 21:05:00,1,1,1,1.37879598,0.0
1780883400031_SELL,2026.06.08 01:50:00,1,1,1,0.4093123,0.0
1780892100044_SELL,2026.06.08 04:15:00,1,1,1,0.56974917,0.0
1780904700039_SELL,2026.06.08 07:45:00,1,1,1,-1.10127293,0.0
1780916100039_SELL,2026.06.08 10:55:00,1,1,1,0.30202374,0.0
1781043300041_SELL,2026.06.09 22:15:00,1,1,1,0.36619782,0.0
1781087700145_SELL,2026.06.10 10:35:00,1,1,1,0.63804982,0.0
1781100300029_SELL,2026.06.10 14:05:00,1,1,1,-0.8559054,0.0
1781156400033_SELL,2026.06.11 05:40:00,1,1,1,1.08159797,0.0
1781178300012_SELL,2026.06.11 11:45:00,1,1,1,0.43691471,0.0
1781197800031_SELL,2026.06.11 17:10:00,1,1,1,-0.12394784,0.0
1781207700011_SELL,2026.06.11 19:55:00,1,1,1,0.485236,0.0
1781580000011_SELL,2026.06.16 03:20:00,1,1,1,0.62596489,0.0
1781586000015_SELL,2026.06.16 05:00:00,1,1,1,0.2371848,0.0
1781599200003_SELL,2026.06.16 08:40:00,1,1,1,-0.37000399,0.0
1781688000014_SELL,2026.06.17 09:20:00,1,1,1,-0.21376635,0.0
1781693700050_SELL,2026.06.17 10:55:00,1,1,1,-0.28605593,0.0
1781706900042_SELL,2026.06.17 14:35:00,1,1,1,-0.20979655,0.0
1783337700009_SELL,2026.07.06 11:35:00,1,1,1,0.97072843,0.0
1783351800022_SELL,2026.07.06 15:30:00,1,1,1,1.15081693,0.0
1783422000050_SELL,2026.07.07 11:00:00,1,1,1,-1.10147071,0.0
1783425600028_SELL,2026.07.07 12:00:00,1,1,1,-0.21628667,0.0
1783485000006_SELL,2026.07.08 04:30:00,1,1,1,0.21613172,0.0
1783504500004_SELL,2026.07.08 09:55:00,1,1,1,0.83370103,0.0
1783530600036_SELL,2026.07.08 17:10:00,1,1,1,0.82632083,0.0
1783560000085_SELL,2026.07.09 01:20:00,1,1,1,0.17383651,0.0
1783675800038_SELL,2026.07.10 09:30:00,1,1,1,-0.30956031,0.0
1783693800015_SELL,2026.07.10 14:30:00,1,1,1,0.33230325,0.0
1783698000056_SELL,2026.07.10 15:40:00,1,1,1,-0.18202301,0.0
