partition,cap,extra_cost_bps,avg_tickets,max_tickets,total_n,total_mean,total_median,total_trim10,total_exbest1,total_extop3,total_extop5,total_worst1,total_worst3_sum,total_pf,total_positive,total_negative,inc_n,inc_mean,inc_median,inc_trim10,inc_exbest1,inc_extop3,inc_extop5,inc_worst1,inc_worst3_sum,inc_pf,inc_positive,inc_negative
JAN_JUN,7,1,2.382978723404255,6,94,0.3601837853191489,-0.203984915,-0.15677835697368422,0.031032457634408598,-0.09265046054945056,-0.16474791921348317,-1.27370307,-3.65662104,1.901857957402652,0.39361702127659576,0.6063829787234043,94,0.12109523297872345,-0.14081504,-0.16934013736842105,-0.08455803215053763,-0.17148469483516482,-0.2071700942696629,-1.40682554,-3.68989258,1.4943792724152891,0.14893617021276595,0.6276595744680851
JAN_JUN,7,1.5,2.382978723404255,6,94,0.2928237760106383,-0.268013815,-0.21820613894736843,-0.035678906236559144,-0.1586288195604396,-0.2287340420224719,-1.397577505,-3.9318345050000003,1.6718748970978985,0.3617021276595745,0.6382978723404256,94,0.08213106148936171,-0.1862070124999999,-0.20089615111842105,-0.12284550682795699,-0.2088042553846154,-0.24275958095505618,-1.4450355049999999,-3.8510404549999997,1.3017257640652073,0.13829787234042554,0.6382978723404256
JAN_JUN,7,2,2.382978723404255,6,94,0.2254637667021277,-0.31239003499999995,-0.27961559473684217,-0.1023902701075269,-0.22460717857142856,-0.2927201648314607,-1.5214519400000002,-4.21612653,1.4748267297774398,0.3404255319148936,0.6595744680851063,94,0.043166890000000006,-0.23654395499999992,-0.23163445986842104,-0.16113298150537633,-0.24612381593406593,-0.2783490676404494,-1.48324547,-4.01218833,1.1440078540788754,0.13829787234042554,0.6382978723404256
JAN_JUN,7,2.5,2.382978723404255,6,94,0.15810375739361707,-0.40087872750000003,-0.3410250505263158,-0.16910163397849462,-0.29058553758241756,-0.3567062876404494,-1.6453263750000002,-4.504813,1.3060570627228867,0.2872340425531915,0.7127659574468085,94,0.0042027185106383175,-0.2763975999999999,-0.2621954559868421,-0.19942045618279572,-0.2834433764835165,-0.3139385543258427,-1.521455435,-4.173336205,1.0128156502374162,0.1276595744680851,0.648936170212766
JAN_JUN,7,3,2.382978723404255,6,94,0.09074374808510641,-0.4673245649999999,-0.40243450631578953,-0.23581299784946239,-0.3565638965934066,-0.42069241044943817,-1.7692008100000003,-4.79349947,1.1615589900795915,0.26595744680851063,0.7340425531914894,94,-0.03476145297872341,-0.2995123250000001,-0.29275645210526313,-0.23770793086021505,-0.32076293703296704,-0.34952804101123597,-1.5596653999999996,-4.334484079999999,0.9027508818550205,0.11702127659574468,0.6595744680851063
JAN_JUN,10,0,2.4893617021276597,6,94,0.5450906044680851,-0.09759795,-0.040084890789473686,0.09508095548387097,0.01095718901098901,-0.04879774876404494,-1.06707883,-3.1536148099999997,2.618353183544527,0.4574468085106383,0.5425531914893617,94,0.24921037648936167,-0.07192336499999993,-0.11754113631578947,-0.07735731268817204,-0.12342073406593405,-0.15133311651685394,-1.3423604800000002,-3.3043835,2.3132700147648313,0.14893617021276595,0.6702127659574468
JAN_JUN,10,0.5,2.4893617021276597,6,94,0.47549221601063835,-0.14286759250000003,-0.10373761861842105,0.026384161075268812,-0.056077180164835164,-0.11591145460674157,-1.1926914,-3.506918495,2.2849483388056187,0.425531914893617,0.574468085106383,94,0.20800782585106384,-0.10555044500000005,-0.15209730809210528,-0.11763021790322581,-0.16221697846153849,-0.18936330438202248,-1.4188441150000002,-3.5468363400000005,1.9474472753308048,0.1276595744680851,0.6914893617021277
JAN_JUN,10,1,2.4893617021276597,6,94,0.4058938275531915,-0.216994715,-0.1672346619736842,-0.042312633333333335,-0.12311154934065935,-0.1830251604494382,-1.35963602,-3.88435386,1.9988836304415252,0.3829787234042553,0.6170212765957447,94,0.166805275212766,-0.14534402499999993,-0.18665347986842104,-0.1579031231182796,-0.20101322285714285,-0.227393492247191,-1.4953277500000002,-3.8034802,1.6602799525244116,0.1276595744680851,0.6914893617021277
JAN_JUN,10,1.5,2.4893617021276597,6,94,0.3362954390957447,-0.27638141250000003,-0.23073170532894738,-0.11100942774193549,-0.19014591851648352,-0.25013886629213483,-1.52658064,-4.261789225,1.7519436279596752,0.35106382978723405,0.648936170212766,94,0.1256027245744681,-0.1944910300000001,-0.22062140315789475,-0.19817602833333334,-0.23980946725274727,-0.26542368011235956,-1.5718113850000002,-4.0875973100000005,1.4396150933650886,0.1276595744680851,0.6914893617021277
JAN_JUN,10,2,2.4893617021276597,6,94,0.2666970506382979,-0.34891309,-0.2944930659210526,-0.17970622215053766,-0.2571802876923077,-0.3172525721348315,-1.69352526,-4.6392245899999995,1.5436567748763923,0.32978723404255317,0.6702127659574468,94,0.08440017393617028,-0.21594656000000004,-0.25347426828947367,-0.23844893354838712,-0.2786057116483517,-0.3034538679775281,-1.64829502,-4.37171442,1.2647489451804708,0.1276595744680851,0.6914893617021277
