partition,cap,extra_cost_bps,reference_risk,compounded_return,closed_opportunity_max_dd,mean_log_growth,worst_day_R,max_consecutive_losses
ALL,5,2,0.005,-2.0441913693214353e-05,-0.11038126916942637,-1.7178254312971897e-07,-3.23124854,10
ALL,5,2.5,0.0025,-0.017579986906720912,-0.07193034418699518,-0.00014904495935058823,-3.5956533850000003,10
ALL,5,2.5,0.005,-0.03866590974851625,-0.1390775500873218,-0.00033137211666277777,-3.5956533850000003,10
ALL,5,3,0.0025,-0.036763534616920945,-0.08702141035380562,-0.00031475921483546025,-3.96005823,10
ALL,5,3,0.005,-0.07583582539322353,-0.16686244241815085,-0.0006627356720796924,-3.96005823,10
ALL,7,0,0.0025,0.11040532537740555,-0.022428221415050298,0.0008800429131760502,-1.88027005,5
ALL,7,0,0.005,0.22523977221265645,-0.044451085272811386,0.001707029892958781,-1.88027005,5
ALL,7,0.5,0.0025,0.08742964582604129,-0.026607668805814333,0.0007043427596192673,-2.20123754,8
ALL,7,0.5,0.005,0.17514762257425387,-0.05260904687280088,0.0013562502179660218,-2.20123754,8
ALL,7,1,0.0025,0.06492359168162376,-0.030770079975976583,0.0005285970730060187,-2.5222050300000003,10
ALL,7,1,0.005,0.127079120776308,-0.06070059005063677,0.0010052893896122705,-2.5222050300000003,10
ALL,7,1.5,0.0025,0.04287768078135823,-0.045365357189495636,0.00035280582189112274,-2.8431725200000004,16
ALL,7,1.5,0.005,0.08095348909303102,-0.08920497203761923,0.0006541471589542216,-2.8431725200000004,16
ALL,7,2,0.0025,0.021282620070903757,-0.0617066067605031,0.0001769689747887566,-3.16414001,16
ALL,7,2,0.005,0.036693135561072676,-0.12011848707780426,0.0003028232764087902,-3.16414001,16
ALL,7,2.5,0.0025,0.00012930187928050785,-0.07777242851456256,1.086500172373167e-06,-3.4851075000000002,18
ALL,7,2.5,0.005,-0.005776470149354451,-0.14999858177311465,-4.8682508249465015e-05,-3.4851075000000002,18
ALL,7,3,0.0025,-0.020591199733746568,-0.09356739293849303,-0.00017484163352538112,-3.80607499,18
ALL,7,3,0.005,-0.04652691608539672,-0.1788792783032137,-0.0004003704458909326,-3.80607499,18
ALL,10,0,0.0025,0.128107598573437,-0.022981998948992777,0.0010129540952343082,-1.57488712,7
ALL,10,0,0.005,0.26000959355270115,-0.04553658055733678,0.0019421792845808125,-1.57488712,7
ALL,10,0.5,0.0025,0.10431267507071729,-0.028662018944242695,0.0008338077977175856,-1.86184427,7
ALL,10,0.5,0.005,0.20751693658077497,-0.05665287084032611,0.0015845893495804648,-1.86184427,7
ALL,10,1,0.0025,0.08101359226138971,-0.0372688706220613,0.0006546143896037124,-2.15737939,12
ALL,10,1,0.005,0.15718534768775516,-0.07351663086585813,0.001226812035066329,-2.15737939,12
ALL,10,1.5,0.0025,0.05820014309354504,-0.05407860213883697,0.000475373837911101,-2.4529145100000003,16
ALL,10,1.5,0.005,0.10892691279390476,-0.1055880118545437,0.000868847079781219,-2.4529145100000003,16
ALL,10,2,0.0025,0.03586232807071266,-0.07059936044607595,0.0002960861096157259,-2.7484496299999996,16
ALL,10,2,0.005,0.06265725162425184,-0.1365660297855219,0.0005106942217982872,-2.7484496299999996,16
ALL,10,2.5,0.0025,0.013990351082995511,-0.08683603603851586,0.00011675117165103893,-3.04398475,16
ALL,10,2.5,0.005,0.018295377364534904,-0.16648739033786863,0.00015235319851839637,-3.04398475,16
ALL,10,3,0.0025,-0.007425384679093372,-0.10279343794011986,-6.263100909211301e-05,-3.33951987,16
ALL,10,3,0.005,-0.024236438176201913,-0.19538758586378235,-0.00020617625333252084,-3.33951987,16
