opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1768452600111_CTXSELL,2026.01.15 04:50:00,JAN_JUN,10,3,4597.65,4603.13,-11.919132600351208,2.106817836276915,-14.025950436628124,-14.009252622663988,85
1768452600111_CTXSELL,2026.01.15 04:50:00,JAN_JUN,10,5,4598.81,4603.13,-9.393734466089507,2.106817836276915,-11.500552302366422,-11.489759127733896,23
1768471500011_CTXSELL,2026.01.15 10:05:00,JAN_JUN,10,0,4599.87,4603.96,-8.89155563092032,-8.89155563092032,0.0,0.0,0
1768471500011_CTXSELL,2026.01.15 10:05:00,JAN_JUN,10,1,4598.43,4603.96,-12.025843603142258,-8.89155563092032,-3.1342879722219372,-3.1305232539171755,45
1768471500011_CTXSELL,2026.01.15 10:05:00,JAN_JUN,10,3,4602.96,4603.96,-2.172515077254636,-8.89155563092032,6.7190405536656845,6.717581149032789,15
1768471500011_CTXSELL,2026.01.15 10:05:00,JAN_JUN,10,5,4601.74,4603.96,-4.824262126935148,-8.89155563092032,4.067293503985173,4.0653322811294474,57
1768474200011_CTXSELL,2026.01.15 10:50:00,JAN_JUN,10,0,4603.24,4604.38,-2.476516540524343,-2.476516540524343,0.0,0.0,0
1768474200011_CTXSELL,2026.01.15 10:50:00,JAN_JUN,10,1,4604.19,4604.38,-0.4126675919119527,-2.476516540524343,2.06384894861239,2.0637637837692977,4
1768474200011_CTXSELL,2026.01.15 10:50:00,JAN_JUN,10,3,4603.38,4604.38,-2.172316862826879,-2.476516540524343,0.3041996776974636,0.3041336102404555,52
1768474200011_CTXSELL,2026.01.15 10:50:00,JAN_JUN,10,5,4603.28,4604.38,-2.3896004588040785,-2.476516540524343,0.08691608172026433,0.08689531721127645,2057
1768553400028_CTXSELL,2026.01.16 08:50:00,JAN_JUN,10,0,4596.8,4598.21,-3.067351200835047,-3.067351200835047,0.0,0.0,0
1768553400028_CTXSELL,2026.01.16 08:50:00,JAN_JUN,10,1,4598.9,4598.21,1.5003587814468673,-3.067351200835047,4.567709982281914,4.568395405498291,180
